UT,Altitude,OrbitalSpeed,TrueAnom,EccAnomaly,MeanAnomaly,TrueLong
10266179.48,4066135.565,130433.836,136.446,135.589,134.725,226.582
10266179.84,4066840.324,130431.406,136.516,135.660,134.798,226.653
10266180.24,4067622.322,130428.710,136.594,135.739,134.878,226.731
10266180.56,4068247.110,130426.555,136.656,135.802,134.942,226.793
10266180.92,4068949.134,130424.134,136.726,135.873,135.014,226.862
10266181.28,4069650.245,130421.717,136.796,135.944,135.086,226.933
10266181.64,4070350.442,130419.303,136.866,136.015,135.158,227.002
10266181.96,4070972.071,130417.159,136.928,136.078,135.222,227.064
10266182.32,4071670.537,130414.751,136.998,136.149,135.294,227.135
10266182.68,4072368.086,130412.346,137.068,136.220,135.366,227.204
10266183.04,4073064.717,130409.944,137.137,136.291,135.438,227.275
10266183.40,4073760.429,130407.545,137.207,136.362,135.510,227.344
10266183.76,4074455.220,130405.150,137.277,136.433,135.583,227.415
10266184.12,4075149.089,130402.758,137.347,136.504,135.655,227.484
10266184.48,4075842.036,130400.369,137.417,136.575,135.727,227.555
10266184.80,4076457.214,130398.248,137.479,136.638,135.791,227.617
10266185.20,4077225.159,130395.600,137.557,136.717,135.871,227.695
10266185.56,4077915.333,130393.221,137.627,136.788,135.943,227.764
10266185.92,4078604.580,130390.845,137.696,136.859,136.015,227.834
10266186.28,4079292.900,130388.472,137.766,136.930,136.087,227.904
10266186.64,4079980.292,130386.102,137.836,137.001,136.159,227.974
10266187.00,4080666.754,130383.736,137.906,137.072,136.231,228.043
10266187.36,4081352.286,130381.373,137.976,137.143,136.303,228.114
10266187.72,4082036.887,130379.013,138.046,137.214,136.375,228.183
10266188.08,4082720.555,130376.656,138.115,137.285,136.448,228.254
10266188.40,4083327.476,130374.564,138.178,137.348,136.512,228.316
10266188.80,4084085.090,130371.953,138.255,137.427,136.592,228.394
10266189.12,4084690.350,130369.867,138.317,137.490,136.656,228.456
10266189.48,4085370.382,130367.523,138.387,137.561,136.728,228.525
10266189.84,4086049.478,130365.182,138.457,137.632,136.800,228.596
10266190.20,4086727.636,130362.845,138.527,137.703,136.872,228.665
10266190.56,4087404.854,130360.510,138.597,137.774,136.944,228.735
10266190.88,4088006.037,130358.438,138.659,137.837,137.008,228.798
10266191.24,4088681.479,130356.110,138.728,137.908,137.080,228.867
10266191.56,4089281.081,130354.044,138.790,137.971,137.144,228.929
10266191.92,4089954.742,130351.722,138.860,138.042,137.216,229.000
10266192.24,4090552.761,130349.661,138.922,138.105,137.281,229.062
10266192.56,4091150.033,130347.603,138.984,138.168,137.345,229.124
10266192.80,4091597.496,130346.061,139.031,138.215,137.393,229.170
10266193.16,4092267.903,130343.750,139.101,138.286,137.465,229.240
10266193.52,4092937.363,130341.443,139.171,138.357,137.537,229.310
10266193.84,4093531.643,130339.395,139.233,138.420,137.601,229.372
10266194.24,4094273.438,130336.839,139.310,138.499,137.681,229.450
10266194.56,4094866.029,130334.797,139.372,138.562,137.745,229.512
10266194.92,4095531.797,130332.503,139.442,138.633,137.817,229.581
10266195.28,4096196.612,130330.212,139.512,138.704,137.889,229.652
10266195.64,4096860.475,130327.924,139.582,138.775,137.961,229.721
10266196.00,4097523.384,130325.640,139.651,138.846,138.034,229.791
10266196.32,4098111.836,130323.612,139.713,138.909,138.098,229.854
10266196.68,4098772.941,130321.334,139.783,138.980,138.170,229.923
10266197.04,4099433.089,130319.060,139.853,139.051,138.242,229.993
10266197.36,4100019.084,130317.040,139.915,139.114,138.306,230.055
10266197.72,4100677.424,130314.772,139.985,139.185,138.378,230.125
10266198.08,4101334.804,130312.507,140.055,139.256,138.450,230.195
10266198.40,4101918.336,130310.497,140.117,139.319,138.514,230.257
10266198.80,4102646.683,130307.987,140.194,139.397,138.594,230.335
10266199.12,4103228.505,130305.983,140.256,139.460,138.658,230.397
10266199.48,4103882.146,130303.731,140.326,139.531,138.730,230.466
10266199.84,4104534.823,130301.482,140.396,139.602,138.802,230.536
10266200.16,4105114.171,130299.486,140.458,139.665,138.867,230.599
10266200.56,4105837.282,130296.995,140.535,139.744,138.947,230.676
10266200.88,4106414.912,130295.005,140.597,139.807,139.011,230.738
10266201.24,4107063.832,130292.769,140.667,139.878,139.083,230.807
10266201.60,4107711.784,130290.537,140.737,139.949,139.155,230.878
10266201.92,4108286.927,130288.556,140.799,140.012,139.219,230.940
10266202.32,4109004.778,130286.083,140.876,140.091,139.299,231.018
10266202.64,4109578.196,130284.107,140.938,140.154,139.363,231.080
10266203.00,4110222.372,130281.888,141.008,140.225,139.435,231.149
10266203.36,4110865.576,130279.673,141.078,140.296,139.507,231.219
10266203.68,4111436.495,130277.706,141.140,140.359,139.571,231.281
10266204.08,4112149.061,130275.252,141.217,140.438,139.652,231.359
10266204.40,4112718.247,130273.291,141.279,140.501,139.716,231.421
10266204.76,4113357.658,130271.089,141.349,140.572,139.788,231.490
10266205.12,4113996.092,130268.889,141.419,140.642,139.860,231.560
10266205.48,4114633.548,130266.694,141.488,140.713,139.932,231.630
10266205.84,4115270.024,130264.502,141.558,140.784,140.004,231.700
10266206.16,4115834.958,130262.556,141.620,140.847,140.068,231.762
10266206.56,4116540.035,130260.127,141.698,140.926,140.148,231.840
10266206.88,4117103.224,130258.188,141.760,140.989,140.212,231.902
10266207.24,4117735.884,130256.009,141.829,141.060,140.284,231.971
10266207.60,4118367.559,130253.833,141.899,141.131,140.356,232.041
10266207.96,4118998.250,130251.661,141.969,141.202,140.429,232.110
10266208.32,4119627.956,130249.492,142.038,141.273,140.501,232.181
10266208.64,4120186.866,130247.567,142.100,141.336,140.565,232.243
10266209.04,4120884.407,130245.165,142.178,141.415,140.645,232.320
10266209.36,4121441.561,130243.246,142.240,141.478,140.709,232.382
10266209.76,4122136.905,130240.852,142.317,141.556,140.789,232.460
10266210.08,4122692.300,130238.939,142.379,141.619,140.853,232.522
